@relation 'StressLevelDataset-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3,10,14,16'

@attribute anxiety_level numeric
@attribute self_esteem numeric
@attribute headache numeric
@attribute blood_pressure numeric
@attribute sleep_quality numeric
@attribute breathing_problem numeric
@attribute noise_level numeric
@attribute living_conditions numeric
@attribute basic_needs numeric
@attribute academic_performance numeric
@attribute study_load numeric
@attribute future_career_concerns numeric
@attribute peer_pressure numeric
@attribute extracurricular_activities numeric
@attribute bullying numeric
@attribute stress_level numeric

@data
8,7,0,3,5,4,2,3,2,2,0,4,5,2,0,0
5,26,1,2,4,1,2,4,5,4,2,1,2,1,1,0
14,16,2,1,2,4,3,2,3,2,3,3,2,3,3,1
10,20,3,1,2,2,3,3,3,3,3,3,2,3,2,1
18,0,3,3,1,5,5,1,2,2,5,5,5,4,4,2
21,19,2,3,4,4,3,4,0,3,3,2,3,1,5,1
4,27,1,2,5,2,2,3,4,4,2,1,2,2,1,0
12,16,4,3,5,4,2,1,1,2,4,0,2,3,0,2
14,21,2,1,2,4,3,3,2,3,3,2,2,3,2,1
7,13,4,3,5,0,0,0,0,1,5,2,2,5,5,2
19,25,1,3,5,1,5,1,1,1,3,2,2,2,5,0
18,28,0,3,5,2,0,5,4,1,5,5,0,0,5,2
10,15,3,1,3,2,2,3,3,3,3,2,2,3,2,1
11,22,2,3,4,2,4,0,3,0,3,1,1,4,1,2
15,7,3,3,1,3,3,2,1,1,5,4,4,4,5,2
5,27,1,2,4,2,2,4,4,4,2,1,2,2,1,0
14,16,3,1,2,2,3,3,2,3,3,3,3,2,3,1
2,30,3,3,0,0,1,0,3,0,0,5,2,3,1,0
3,9,4,3,1,3,5,1,3,2,1,4,3,1,1,2
14,23,2,1,2,4,3,3,3,3,3,3,3,2,3,1
1,26,1,2,4,1,2,4,4,5,2,1,2,1,1,0
12,22,2,1,2,2,3,3,3,3,3,3,2,3,3,1
10,20,3,1,2,4,3,2,2,3,2,2,2,3,3,1
14,19,3,1,2,2,2,3,3,3,3,2,3,2,3,1
12,17,3,1,3,4,3,2,2,2,2,2,2,2,3,1
7,26,1,2,5,1,2,4,5,4,1,1,1,1,1,0
3,25,1,2,5,1,1,4,4,5,1,1,1,1,1,0
12,17,3,1,3,2,3,3,2,2,3,3,2,3,2,1
13,17,3,1,3,4,2,2,3,2,3,2,3,3,3,1
0,27,1,2,5,1,2,4,5,4,1,1,1,2,1,0
9,17,3,1,2,4,2,3,3,3,2,3,2,3,2,1
3,26,1,2,4,2,2,4,5,4,1,1,2,2,1,0
9,24,3,1,2,2,3,3,3,3,2,3,2,2,3,1
14,23,2,1,2,2,3,2,3,2,3,3,2,2,2,1
8,29,1,2,5,1,1,3,5,4,2,1,2,1,1,0
0,28,1,2,5,1,1,3,5,4,2,1,2,1,1,0
15,30,3,3,4,0,0,0,2,5,2,4,5,4,1,1
16,13,3,3,1,4,4,1,2,1,4,4,4,4,4,2
3,30,1,2,4,2,1,4,5,4,1,1,2,1,1,0
8,4,5,3,4,2,3,0,4,4,0,1,1,5,1,2
14,25,2,1,2,2,2,2,3,2,3,2,2,2,2,1
16,14,4,3,1,3,3,1,1,1,3,4,4,5,4,2
18,15,5,3,1,4,5,2,1,1,3,5,4,4,5,2
15,6,5,3,1,4,3,2,1,1,5,4,4,5,4,2
21,9,4,3,1,3,3,2,1,1,3,4,5,5,5,2
13,23,2,1,3,2,3,2,3,3,3,2,2,3,3,1
16,4,3,3,1,5,4,2,1,3,2,0,5,3,4,2
17,5,4,3,1,4,4,2,2,1,3,5,5,4,5,2
14,16,2,1,3,4,3,2,2,3,2,2,2,2,3,1
15,6,1,3,3,5,0,4,4,1,4,1,0,2,2,0
20,11,0,3,1,4,3,1,5,0,0,4,3,1,2,0
8,30,1,2,5,1,2,3,4,4,1,1,1,1,1,0
1,26,1,2,4,2,1,4,5,4,1,1,1,1,1,0
6,25,1,2,5,1,2,3,5,5,1,1,2,1,1,0
21,10,1,3,1,5,4,3,0,2,5,5,2,2,1,1
1,25,1,2,4,1,1,3,5,5,2,1,1,2,1,0
15,11,3,3,1,4,3,2,1,2,3,5,5,5,4,2
8,29,1,2,5,1,2,4,4,5,1,1,2,1,1,0
10,21,2,1,3,2,2,2,3,3,2,3,3,2,3,1
4,27,1,2,4,2,1,3,4,5,1,1,1,1,1,0
18,7,4,3,1,3,3,2,2,2,4,5,4,4,4,2
18,8,3,3,1,3,4,1,2,2,5,4,5,5,5,2
6,25,1,2,5,1,1,4,4,4,2,1,2,2,1,0
1,28,1,2,4,2,1,4,4,5,1,1,1,2,1,0
3,27,1,2,5,2,1,4,4,4,2,1,1,1,1,0
14,25,2,1,2,2,3,3,2,2,3,3,3,3,3,1
9,21,2,1,2,4,3,3,3,2,3,2,2,3,2,1
18,12,5,3,1,3,4,2,1,1,3,4,4,5,5,2
8,28,1,2,5,1,2,4,4,4,2,1,1,2,1,0
3,9,1,3,4,0,2,3,0,4,0,2,2,1,0,1
13,16,2,1,2,2,2,2,2,2,3,2,2,3,2,1
7,22,5,3,5,3,5,5,2,2,5,4,1,4,4,2
12,25,3,1,2,2,2,3,3,3,3,3,2,2,3,1
14,23,3,1,3,4,2,2,3,2,3,3,2,2,3,1
17,2,4,3,1,3,5,1,2,2,4,5,5,4,4,2
0,27,1,2,4,2,1,3,4,5,1,1,2,2,1,0
18,13,5,3,1,4,5,2,1,1,3,4,4,5,4,2
12,19,2,1,3,2,3,2,3,2,2,3,2,2,3,1
13,21,2,1,2,2,3,3,3,2,2,2,2,2,2,1
11,20,3,1,2,4,2,2,2,3,3,2,2,3,2,1
15,3,4,3,1,3,3,2,2,1,4,5,5,4,4,2
9,20,3,1,2,4,2,2,2,2,3,2,2,2,3,1
2,25,1,2,4,1,1,4,4,5,1,1,2,1,1,0
19,13,3,3,1,5,3,2,2,2,3,5,5,5,5,2
19,9,5,3,1,3,5,1,2,2,3,4,4,4,4,2
17,12,3,3,1,5,3,1,2,2,4,5,5,5,5,2
10,25,2,1,2,4,3,2,2,3,3,2,2,3,3,1
6,27,1,2,5,1,1,4,5,4,2,1,1,2,1,0
4,25,1,2,4,2,1,4,4,5,2,1,2,2,1,0
20,0,5,3,1,4,5,2,1,1,3,5,5,4,5,2
9,23,2,1,2,2,2,2,3,3,3,2,3,3,2,1
21,11,5,3,1,4,3,1,2,2,4,4,5,4,5,2
11,20,2,1,3,2,2,3,2,3,3,2,3,2,3,1
2,27,1,2,4,1,1,4,5,4,1,1,1,1,1,0
10,23,3,1,2,4,2,3,3,3,3,2,2,2,3,1
15,3,5,3,1,3,3,2,2,1,4,4,5,5,4,2
17,15,3,3,1,3,4,2,2,2,5,5,5,4,4,2
19,13,5,3,1,4,4,2,1,2,5,5,4,5,4,2
12,0,3,3,3,2,5,5,2,0,1,0,4,1,1,2
17,1,4,3,1,5,5,2,2,2,3,5,5,4,4,2
20,6,4,3,1,5,3,1,2,2,4,4,5,4,4,2
20,10,3,3,1,4,3,1,2,2,4,4,4,4,5,2
10,24,2,1,3,4,3,2,2,2,2,3,3,2,3,1
18,11,3,3,1,5,4,2,1,2,5,5,4,4,5,2
19,13,5,3,1,5,5,2,2,1,3,4,5,5,5,2
18,6,3,3,1,5,3,1,1,1,5,5,4,5,5,2
1,27,1,2,5,2,2,3,4,5,1,1,1,1,1,0
10,25,3,1,2,4,3,3,3,3,3,3,3,2,2,1
21,12,4,3,1,5,5,2,2,1,3,4,4,4,4,2
15,6,3,3,1,3,4,2,2,1,3,5,5,5,4,2
3,27,1,2,4,2,2,4,5,4,1,1,2,2,1,0
6,29,1,2,5,1,2,4,4,4,2,1,2,1,1,0
21,5,5,3,1,4,5,1,1,1,3,5,4,4,4,2
18,14,3,3,1,5,4,1,1,2,3,5,5,5,4,2
6,30,1,2,5,2,1,3,4,5,1,1,2,1,1,0
17,9,3,3,1,4,3,1,2,1,3,5,4,4,5,2
4,28,1,2,5,1,2,3,5,5,2,1,1,1,1,0
9,24,2,1,3,4,2,2,2,3,2,2,3,2,3,1
16,14,4,3,1,5,5,1,2,2,3,4,5,4,4,2
10,20,2,1,3,2,2,2,2,2,3,3,2,2,3,1
4,29,1,2,5,1,2,3,4,5,2,1,2,2,1,0
11,20,2,1,2,2,2,3,2,3,2,2,2,3,3,1
13,25,3,1,2,4,3,2,2,2,3,2,3,2,2,1
17,2,4,3,1,5,5,2,2,1,3,5,4,4,4,2
7,25,1,2,5,1,1,4,4,5,1,1,2,1,1,0
21,1,5,3,1,3,5,2,1,1,3,5,5,4,4,2
1,26,1,2,5,1,2,4,4,5,2,1,2,2,1,0
20,11,4,3,1,4,5,2,1,2,3,5,4,4,4,2
6,25,1,2,4,1,1,4,5,5,1,1,1,2,1,0
10,21,3,1,3,2,2,3,3,3,2,2,3,2,2,1
17,24,3,3,1,0,3,4,0,5,5,2,3,1,1,2
18,2,3,3,1,3,4,2,2,2,5,4,4,5,4,2
7,26,1,2,5,2,1,3,5,5,2,1,2,1,1,0
10,20,2,1,2,4,2,3,3,2,2,3,2,3,3,1
17,10,4,3,1,4,4,1,1,1,5,4,5,5,4,2
19,2,3,3,1,3,4,2,2,2,3,4,4,5,4,2
9,29,3,3,4,0,5,0,4,5,5,3,5,4,0,0
19,10,4,3,1,4,5,1,1,1,4,4,4,4,5,2
21,3,5,3,1,3,5,2,2,1,4,5,5,5,5,2
8,28,1,2,4,2,1,4,4,5,1,1,1,1,1,0
21,8,5,3,1,5,5,2,2,2,5,5,5,5,4,2
2,30,1,3,5,2,1,5,3,4,0,2,2,5,3,0
9,23,2,1,2,2,3,2,3,3,3,2,2,2,2,1
9,17,2,1,2,4,2,3,3,3,2,2,2,2,2,1
3,5,5,3,2,2,0,2,0,2,4,1,2,3,4,2
17,14,5,3,1,5,3,2,2,1,3,4,4,5,5,2
0,25,1,2,5,1,2,4,5,5,2,1,1,1,1,0
9,23,2,1,3,4,3,2,2,2,2,3,2,3,3,1
15,1,4,3,1,4,3,1,2,1,3,5,5,4,4,2
6,27,1,2,5,2,1,3,5,5,2,1,2,2,1,0
5,29,1,2,5,2,1,4,4,4,2,1,1,1,1,0
0,25,1,2,4,1,1,4,5,4,1,1,2,2,1,0
13,25,2,1,2,2,3,3,3,3,2,3,3,2,2,1
9,19,2,1,2,2,2,3,3,2,2,3,2,3,3,1
5,20,4,3,1,5,5,3,0,4,3,3,5,2,4,1
19,3,1,3,5,1,2,3,2,0,5,5,4,3,5,1
6,25,1,2,4,1,2,4,5,4,1,1,2,1,1,0
14,17,5,3,4,5,5,5,2,5,5,0,3,4,4,1
10,16,2,1,2,4,3,3,3,2,2,3,2,2,3,1
2,26,1,2,4,1,2,3,5,4,2,1,1,1,1,0
12,21,2,1,3,4,3,3,2,3,2,3,3,2,3,1
19,11,4,3,1,3,5,2,1,2,3,5,4,4,4,2
14,25,3,1,3,4,2,2,2,3,3,2,3,3,3,1
1,7,0,3,0,3,4,2,3,0,4,0,2,0,4,2
0,25,1,2,5,1,1,3,5,4,1,1,2,2,1,0
21,8,4,3,5,0,5,3,2,5,1,4,3,4,2,0
21,30,3,3,0,5,4,1,3,4,3,3,3,3,1,0
10,23,3,1,3,4,3,2,3,2,2,2,2,2,3,1
3,29,1,2,4,1,2,4,5,4,2,1,1,2,1,0
8,27,1,2,5,2,1,4,5,4,1,1,2,1,1,0
5,26,1,2,5,2,2,3,4,4,1,1,2,1,1,0
19,0,4,3,1,4,3,2,1,2,5,5,4,4,4,2
5,30,1,2,4,1,2,3,4,5,1,1,1,1,1,0
21,3,1,3,3,4,3,4,0,3,2,1,1,3,2,2
17,5,3,3,1,5,3,1,2,1,4,4,5,4,4,2
9,29,5,3,3,0,5,4,1,4,1,3,3,4,0,0
5,27,1,2,4,2,2,3,4,5,1,1,1,1,1,0
21,1,3,3,1,5,3,1,1,1,4,4,4,5,5,2
19,27,5,3,5,0,5,5,5,0,1,1,4,3,4,1
12,22,3,1,3,4,2,3,3,2,3,3,2,2,3,1
17,10,5,3,1,3,4,2,1,1,4,5,4,5,5,2
16,1,4,3,1,3,5,2,2,1,4,5,4,5,4,2
6,26,1,2,4,1,2,4,5,5,1,1,2,1,1,0
14,23,2,1,2,2,2,2,3,3,2,2,3,3,2,1
18,5,3,3,1,3,5,1,2,2,4,5,4,4,5,2
1,28,1,2,5,2,1,3,4,4,1,1,2,1,1,0
19,12,5,3,1,4,4,2,1,2,4,5,5,5,5,2
3,17,3,3,3,0,0,3,2,0,1,0,1,2,2,0
7,25,1,2,4,1,1,4,5,5,1,1,2,1,1,0
5,9,4,3,5,3,4,0,2,0,0,5,3,4,0,1
10,25,3,1,2,2,2,2,3,2,2,2,3,2,3,1
20,10,5,3,1,3,5,1,2,2,4,5,5,5,4,2
5,23,1,3,5,5,2,0,3,2,5,2,3,2,3,2
21,15,4,3,1,5,4,1,2,2,5,4,5,4,5,2
6,13,0,3,2,1,2,4,5,3,2,2,0,5,2,0
10,24,3,1,3,2,2,2,3,2,3,2,2,2,2,1
15,1,3,3,1,4,3,2,2,1,4,5,5,4,5,2
12,20,3,1,3,2,3,2,3,2,3,3,2,3,2,1
10,19,3,1,3,4,2,3,3,3,2,2,2,2,2,1
11,8,2,3,3,1,1,2,4,3,1,2,5,1,2,2
20,19,4,3,1,5,3,1,3,1,2,4,4,5,1,0
1,27,1,2,4,1,1,4,5,5,1,1,1,2,1,0
7,30,1,2,4,2,1,3,4,4,2,1,2,2,1,0
3,29,1,2,4,2,1,4,4,5,1,1,2,1,1,0
14,12,0,3,0,3,2,2,2,2,0,4,1,0,3,2
12,5,0,3,4,5,4,5,3,5,2,2,4,3,5,1
20,11,5,3,1,5,4,2,1,1,4,4,5,4,5,2
8,6,4,3,1,4,2,4,0,4,4,3,4,0,2,0
2,27,1,2,5,2,1,4,4,4,1,1,2,1,1,0
12,17,2,1,3,4,3,2,2,3,2,2,2,3,2,1
10,15,3,1,2,4,2,3,3,3,3,2,3,2,2,1
16,12,4,3,1,4,3,1,2,2,5,5,5,5,5,2
15,12,4,3,1,4,4,2,2,1,3,4,5,4,5,2
6,30,1,2,5,1,1,4,5,5,2,1,2,2,1,0
1,28,1,2,4,2,2,4,4,4,1,1,2,1,1,0
1,26,1,2,5,1,2,3,4,5,1,1,1,2,1,0
16,3,4,3,1,4,5,2,2,1,4,4,4,5,5,2
11,23,5,3,0,3,0,5,1,3,3,2,4,0,0,2
21,14,4,3,1,3,5,1,1,1,3,5,5,4,4,2
14,18,2,1,2,4,2,2,2,3,2,3,3,2,2,1
2,26,1,2,5,2,2,3,4,5,2,1,2,1,1,0
13,25,2,1,2,2,2,2,3,3,2,2,3,3,2,1
19,5,4,3,1,4,3,2,2,1,4,5,4,4,5,2
16,12,5,3,1,5,3,1,2,2,3,4,5,4,4,2
15,13,5,3,1,4,4,1,1,2,5,4,5,4,4,2
14,16,1,3,0,5,2,2,4,0,1,2,0,4,5,0
10,18,3,1,2,2,3,2,3,2,3,3,2,2,3,1
13,16,2,1,3,2,2,3,3,2,3,2,3,3,2,1
15,13,4,3,1,3,3,2,2,1,5,5,5,4,4,2
4,25,1,2,5,2,2,4,4,5,2,1,2,1,1,0
0,28,1,2,4,2,2,4,5,5,1,1,2,2,1,0
3,10,3,3,4,4,5,2,5,4,3,3,2,4,3,2
2,15,5,3,1,0,1,3,5,4,4,3,3,1,3,2
15,7,4,3,1,3,5,2,2,1,3,5,4,4,5,2
10,25,2,1,2,2,3,3,2,3,2,3,2,2,2,1
21,1,3,3,1,4,5,1,1,1,4,5,5,5,5,2
6,4,4,3,1,1,4,4,1,4,4,0,0,3,2,2
19,3,3,3,1,4,5,1,2,2,5,4,4,4,5,2
9,13,5,3,0,0,3,2,5,2,4,4,2,5,1,0
4,29,1,2,5,1,1,4,5,5,1,1,1,2,1,0
20,10,3,3,1,4,3,2,1,2,4,5,4,4,4,2
19,16,4,3,3,5,1,3,1,2,0,3,0,5,5,0
6,11,4,3,1,1,0,3,2,0,3,1,2,0,1,0
19,11,4,3,1,5,5,1,2,1,4,4,5,5,5,2
13,20,2,1,3,4,3,3,2,3,2,2,3,3,3,1
1,30,1,2,5,2,1,3,5,5,1,1,1,1,1,0
7,17,4,3,5,4,5,1,1,2,1,1,1,0,3,2
11,17,3,1,3,2,2,2,3,2,2,3,2,3,3,1
9,12,0,3,0,0,0,1,4,0,1,1,3,4,3,2
4,26,1,2,5,2,2,3,4,5,1,1,1,2,1,0
21,0,5,3,1,4,3,1,1,2,5,4,4,4,4,2
18,6,3,3,0,3,3,0,3,3,4,3,5,1,4,2
